name     ,alt_name   ,ra         ,dec        ,vmag,bv_color,helio_distance,metallicity,radial_velocity,radial_velocity_error,central_sigma_v,central_sigma_v_error,half_light_radius,,rhalf,MV
NGC 288  ,           ,00 52 45.24,-26 34 57.4,8.09,0.65,8.9,-1.32,-45.4,0.2,2.9,0.3,2.23,0.00032434,5.773253198,-6.656950033
NGC 6293 ,           ,17 10 10.20,-26 34 55.5,8.22,0.96,9.5,-1.99,-146.2,1.7,7.7,1.3,0.89,0.000129445,2.459457713,-6.668618026
NGC 5694 ,           ,14 39 36.29,-26 32 20.2,10.17,0.69,35,-1.98,-140.3,0.8,5.8,0.8,0.4,5.81776E-05,4.072431477,-7.550340222
NGC 6121 ,M 4        ,16 23 35.22,-26 31 32.7,5.63,1.03,2.2,-1.16,70.7,0.2,4,0.2,4.33,0.000629772,2.770998369,-6.082113404
NGC 6355 ,           ,17 23 58.59,-26 21 12.3,9.14,1.48,9.2,-1.37,-176.9,7.1,               ,                     ,0.88,0.000127991,2.355028935,-5.678939137
NGC 6273 ,M 19       ,17 02 37.80,-26 16 04.7,6.77,1.03,8.8,-1.74,135,4.1,               ,                     ,1.32,0.000191986,3.378954536,-7.952413361
Pal 6    ,           ,17 43 42.20,-26 13 21.0,11.55,2.83,5.8,-0.91,181,2.8,               ,                     ,1.2,0.000174533,2.024580202,-2.267139968
Terzan 10,           ,18 03 36.40,-26 04 21.0,14.9,        ,5.8,-1,               ,                     ,               ,                     ,1.55,0.000225438,2.615082743,1.082860032
NGC 6144 ,           ,16 27 13.86,-26 01 24.6,9.01,0.96,8.9,-1.76,193.8,0.6,               ,                     ,1.63,0.000237074,4.2199116,-5.736950033
NGC 6553 ,           ,18 09 17.60,-25 54 31.3,8.06,1.73,6,-0.18,-3.2,1.5,               ,                     ,1.03,0.000149807,1.797687598,-5.830756252
NGC 6638 ,           ,18 30 56.10,-25 29 50.9,9.02,1.15,9.4,-0.95,18.1,3.9,               ,                     ,0.51,7.41764E-05,1.394516892,-5.845639268
NGC 6544 ,           ,18 07 20.58,-24 59 50.4,7.77,1.46,3,-1.4,-27.3,3.9,               ,                     ,1.21,0.000175987,1.055923295,-4.615606274
NGC 6626 ,M 28       ,18 24 32.81,-24 52 11.2,6.79,1.08,5.5,-1.32,17,1,8.6,1.3,1.97,0.000286525,3.151770992,-6.911813447
Terzan 5 ,Terzan 11  ,17 48 04.80,-24 46 45.0,13.85,2.77,6.9,-0.23,-93,2,               ,                     ,0.72,0.00010472,1.445131395,-0.344245454
NGC 6284 ,           ,17 04 28.51,-24 45 53.5,8.83,0.99,15.3,-1.26,27.5,1.7,6.3,0.9,0.66,9.5993E-05,2.937386641,-7.093457154
NGC 1904 ,M 79       ,05 24 11.09,-24 31 29.0,7.73,0.65,12.9,-1.6,205.8,0.4,5.3,0.4,0.65,9.45386E-05,2.439095562,-7.822948551
UKS 1    ,           ,17 54 27.20,-24 08 43.0,17.29,        ,7.8,-0.64,57,6,               ,                     ,                 ,#VALUE!,#VALUE!,2.829526987
